,City,Country,Condition,Latitude,Longitude,Weather,Temperature,Temperature Max (C),Temperature Min (C),Wind
0,Kuala Lumpur,MY,Clouds,3.1431,101.6865,few clouds,25.61,24.75,24.41,0.51
1,Labuan,MY,Clouds,5.2767,115.2417,scattered clouds,26.14,26.09,25.05,0.89
2,Kuching,MY,Clouds,1.55,110.3333,few clouds,26.14,25.12,25.12,2.06
3,Pulau Pinang,MY,Clouds,5.3768,100.2585,few clouds,23.45,23.1,21.02,1.03
4,Putrajaya,MY,Rain,2.9353,101.6911,light rain,25.71,24.94,24.6,1.06
5,Alor Setar,MY,Clouds,6.121,100.3601,few clouds,23.96,22.99,22.77,1.03
6,Seremban,MY,Clouds,2.7297,101.9381,overcast clouds,25.66,24.75,24.41,0.99
7,Shah Alam,MY,Clouds,3.0851,101.5328,few clouds,25.99,25.62,24.82,0.51
8,Johor Bahru,MY,Clouds,1.4655,103.7578,scattered clouds,26.46,25.95,24.99,2.06
9,Kuala Terengganu,MY,Clouds,5.3302,103.1408,few clouds,23.93,22.97,22.75,1.03
10,Pahang,MY,Clouds,3.5,102.75,overcast clouds,23.2,22.75,22.5,0.33
11,Kota Kinabalu,MY,Clouds,5.9749,116.0724,few clouds,30,26.99,26.6,1.54
12,Ipoh,MY,Clouds,4.5841,101.0829,few clouds,24.86,23.95,23.66,1.03
13,Kota Bahru,MY,Clouds,6.1333,102.2386,few clouds,23.66,23,22.77,0
14,Perlis,MY,Clouds,6.5,100.25,broken clouds,23.21,24.93,22.09,2.62
15,Melaka,MY,Clouds,2.196,102.2405,few clouds,25.88,25.02,25.02,2.57
16,Port Dickson,MY,Clouds,2.5228,101.7959,overcast clouds,25.8,25.12,25.06,1.87
17,Taiping,MY,Clouds,4.85,100.7333,overcast clouds,24.95,24.11,24.11,0.68
18,Segamat,MY,Clouds,2.5148,102.8158,overcast clouds,25.61,24.9,24.9,1.17
19,Kuala Pilah,MY,Clouds,2.7389,102.2487,overcast clouds,25.36,24.53,24.46,0.56
20,Sandakan,MY,Clouds,5.8402,118.1179,few clouds,26.4,25.82,25.35,0.89
21,Sabak Bernam,MY,Clouds,3.7698,100.9879,overcast clouds,24.59,24.03,23.92,1.1
22,Kota Tinggi,MY,Clouds,1.7381,103.8999,overcast clouds,26.38,26.02,25.1,1.78
23,Teluk Intan,MY,Clouds,4.0259,101.0213,overcast clouds,24.79,24.2,23.9,0.89
24,Miri,MY,Clouds,4.4148,114.0089,scattered clouds,26.25,25.08,25.05,3.6
25,Kuantan,MY,Clouds,3.8077,103.326,few clouds,23.61,23.06,22.82,0.51
26,Bentong,MY,Clouds,3.5181,101.9079,overcast clouds,26.26,25.25,24.45,0.16
27,Raub,MY,Clouds,3.7899,101.857,overcast clouds,24.85,23.92,23.92,0.19
